"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"GATA2__V__TF25","GATA2","TF25",-0.140045660327489,2.23001638586007e-05,0.0331445310281683,0.149638055829525
"NELL2__V__QI6604","NELL2","QI6604",-0.139677919402941,3.66911372468729e-08,0.00161956315775039,0.110127269861341
"MS4A2__V__QI5118","MS4A2","QI5118",-0.13852039174905,2.32672532571488e-06,0.011482440001224,0.228211021254195
"ANKRD57__V__AM61","ANKRD57","AM61",-0.138442615139925,4.19565623636856e-05,0.0441652439097335,0.114104387136135
"RBM16__V__QI5810","RBM16","QI5810",-0.138390473055935,2.88659920763814e-05,0.0373365484028248,0.117879373862442
"CENTG2__V__AM61","CENTG2","AM61",-0.136812053148153,2.37164368509512e-05,0.0340440181463365,0.119766958194154
"PEBP1__V__QI6604","PEBP1","QI6604",-0.136640658461085,5.569634357924e-07,0.00553580664139302,0.101665119617495
"LOC727758__V__AM61","LOC727758","AM61",-0.136532557595755,2.50399213961019e-05,0.0348798113583425,0.119986472454595
"GATA2__V__QI5995","GATA2","QI5995",-0.136055946491483,1.15143530947182e-05,0.0244718357353521,0.178775285091602
"PQLC3__V__AM61","PQLC3","AM61",-0.135721028226667,4.45642437540914e-05,0.0453602172529245,0.112423745529485
"ANKRD27__V__QI8226","ANKRD27","QI8226",-0.135225644831106,2.03108307024309e-05,0.0317200911504254,0.116821539277609
"RELL2__V__QI5034","RELL2","QI5034",-0.134865075657117,4.81204153376298e-05,0.0468965285750594,0.133208902896356
"PRDX3__V__AM61","PRDX3","AM61",-0.133836504065985,2.71704147938605e-05,0.0362661530081576,0.115109575780875
"PTGER2__V__AM61","PTGER2","AM61",-0.133763673859374,3.31175780105892e-06,0.013597382220035,0.130892713600358
"SESN1__V__AM61","SESN1","AM61",-0.129905985230384,4.72192568802057e-06,0.0161236416328886,0.13211184793505
"LOC641844__V__AM61","LOC641844","AM61",-0.129831926935442,3.32533891813187e-05,0.039689213156957,0.114113947625614
"GPER__V__AM61","GPER","AM61",-0.128906530937773,2.27767630440736e-05,0.0334118028510681,0.132866636110887
"CDV3__V__QI8226","CDV3","QI8226",-0.127872435803355,1.10021827229949e-05,0.0239569964708303,0.106318554479008
"DHX15__V__AM61","DHX15","AM61",-0.127719895920841,4.36523446729561e-05,0.0448833288699353,0.112437112400047
"LOC645385__V__QI6604","LOC645385","QI6604",-0.125751985082225,3.61193129538194e-08,0.00161749910087411,0.111050887285493
"HCG27__V__AM61","HCG27","AM61",-0.12533875503311,4.72568861568808e-06,0.016131334267997,0.126398479073024
"SH3BGRL__V__AM61","SH3BGRL","AM61",-0.12514699928432,4.06962845809098e-05,0.0435152879655651,0.112781389885463
"DNMT1__V__QI5810","DNMT1","QI5810",-0.124400876919099,7.73136761389173e-06,0.0205098115057419,0.124570178684654
"LILRB2__V__AM61","LILRB2","AM61",-0.123627230626249,2.00821137132809e-06,0.0106948246529754,0.131719398673179
"LOC644655__V__QI8226","LOC644655","QI8226",-0.123277388958813,4.58230528366793e-05,0.0459733716844457,0.115047933295733
"ZMIZ1__V__AM61","ZMIZ1","AM61",-0.121355731101655,8.71831591259973e-06,0.0216206801027437,0.123603882219076
"GATA2__V__QI5270","GATA2","QI5270",-0.121113798840307,2.82729712763705e-05,0.0369681083152083,0.165889832930443
"UGT1A3__V__QI4568","UGT1A3","QI4568",-0.120922367873275,1.94432796064748e-05,0.0310638315825044,0.205010037732963
"RPL37A__V__QI6604","RPL37A","QI6604",-0.120086247619447,3.66270188984518e-06,0.0142744510169551,0.101025169181233
"CSAD__V__AM61","CSAD","AM61",-0.120050850903377,1.53142856092143e-05,0.0278673453763462,0.12070310967153
"GATA2__V__QI6026","GATA2","QI6026",-0.119559811666192,4.58559881827474e-05,0.045989457879249,0.155242946883003
"C13orf23__V__QI5810","C13orf23","QI5810",-0.119453090990862,1.30048558642342e-05,0.0258474739522587,0.128695957513177
"MS4A2__V__QI5049","MS4A2","QI5049",-0.119005356442685,3.54486791340803e-06,0.0140377561780616,0.195732204730967
"E2F3__V__AM61","E2F3","AM61",-0.116079074227609,3.78005308503951e-05,0.0420986006624141,0.115250110566159
"CYBRD1__V__AM61","CYBRD1","AM61",-0.115356489038059,1.32150850190838e-05,0.0260128849205904,0.126774359530757
"MS4A2__V__QI6026","MS4A2","QI6026",-0.114844440407954,5.99073308647173e-06,0.0181433149580648,0.189042379468268
"IFNGR1__V__AM61","IFNGR1","AM61",-0.114581474891528,1.51300971490699e-05,0.0277121819576387,0.118697843581102
"ZFAND5__V__AM61","ZFAND5","AM61",-0.114439554649528,4.91826708317142e-06,0.016416556822253,0.125636162374345
"MS4A2__V__QI5995","MS4A2","QI5995",-0.113933506771312,2.9419705085344e-05,0.0376147336166946,0.177433639689936
"PELI1__V__AM61","PELI1","AM61",-0.113788353250215,9.46513233976079e-06,0.0223539790398232,0.12566165878055
"IL18R1__V__AM61","IL18R1","AM61",-0.113748347199547,4.20232071457835e-05,0.0441811710841753,0.114814463816799
"HDHD1A__V__AM52","HDHD1A","AM52",-0.113148909155704,1.76665410250662e-05,0.0295580566397035,0.190904486216702
"RNF149__V__AM61","RNF149","AM61",-0.113118056707034,5.42093195727239e-05,0.0494578108272169,0.111194249421941
"IGFBP3__V__AM52","IGFBP3","AM52",-0.112560593902776,3.80996141047785e-05,0.0422151153565521,0.188243639711722
"CHMP1B__V__AM61","CHMP1B","AM61",-0.112149074055472,2.53052175633495e-05,0.0350467313396784,0.117622138996532
"IRS2__V__AM61","IRS2","AM61",-0.111092312161824,1.5495968148484e-05,0.0279845208131641,0.125575329624804
"SIRPA__V__AM61","SIRPA","AM61",-0.110976109462426,3.18719332324793e-05,0.038869805078874,0.114463190649504
"PTGER4__V__AM61","PTGER4","AM61",-0.110765955688999,1.94194289179643e-05,0.0310598757797218,0.12122306432859
"CD55__V__AM61","CD55","AM61",-0.110007959931851,2.67045517877516e-05,0.0359221924603847,0.120892487741221
"DOCK10__V__QI5810","DOCK10","QI5810",-0.109840594262525,8.26449222430687e-06,0.0211105343420237,0.126083782724416
"LPIN1__V__QI5810","LPIN1","QI5810",-0.108599402621981,1.47320109887752e-05,0.0273721768602552,0.123790448403212
"MPPE1__V__AM61","MPPE1","AM61",-0.108053289210883,8.7564290598556e-06,0.0216538092451449,0.123092695418459
"CANX__V__AM102","CANX","AM102",-0.101469994177853,4.98990473151646e-06,0.0165346274003558,0.150149773567946
"S1PR3__V__AM52","S1PR3","AM52",-0.09939695924211,2.32657208302777e-06,0.011482440001224,0.208761483627304
"VAMP1__V__QI6147","VAMP1","QI6147",-0.0974767044421961,3.92203180235201e-05,0.0427568478185264,0.222525978655414
"CATSPER1__V__AM102","CATSPER1","AM102",-0.0943246059668793,4.71750659039662e-05,0.0465505527362997,0.140511500248486
"GCA__V__AM61","GCA","AM61",-0.0926296541515546,2.71478257811547e-05,0.0362524379465905,0.116451042495348
"S1PR3__V__AM102","S1PR3","AM102",-0.0890366599158658,2.42995407098841e-05,0.0344049049908214,0.151299567272362
"SDCBP__V__AM61","SDCBP","AM61",-0.0889711493926291,3.75319329586627e-05,0.0419740970833029,0.122689365787263
"MGST2__V__AM102","MGST2","AM102",-0.0814378724204424,3.86506824678846e-05,0.0424896073620127,0.139069337456751
"FAM153B__V__QI9128","FAM153B","QI9128",0.0711298452374337,1.81546162581436e-05,0.0300043299596041,0.142497294895693
"BOLA2__V__QI11631","BOLA2","QI11631",0.0715154780254818,4.48994987491972e-05,0.0455253505427532,0.119020210268343
