"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
Sample,Method,Chromosome,Promoter Precision,Promoter Recall,Enhancer Precision,Enhancer Recall,Weak Precision,Weak Recall
,,9,0.54,0.75,0.25,0,0.88,0.95
,,10,0.47,0.75,0.58,0.01,0.9,0.95
,,11,0.56,0.7,0.17,0,0.87,0.95
,,12,0.53,0.71,0.33,0,0.87,0.95
,,13,0.28,0.77,0.25,0,0.95,0.92
,,14,0.49,0.78,0.4,0,0.91,0.95
,,15,0.56,0.75,0.29,0,0.84,0.94
,,16,0.64,0.72,0.2,0,0.83,0.95
,,17,0.63,0.66,0.2,0,0.73,0.92
,,18,0.34,0.73,0.5,0.01,0.93,0.94
,,19,0.7,0.63,0.5,0,0.73,0.9
,,20,0.59,0.72,0,0,0.82,0.94
,,21,0.44,0.74,0,0,0.91,0.95
,,22,0.58,0.7,0,0,0.81,0.91
,,Mean,0.49,0.74,0.3,0,0.88,0.94
,,Stdev,0.11,0.04,0.18,0,0.06,0.01
,,Difference,0.07,0.08,0,0,0.03,0.02
HeLa (H),SOM-VN,1,0.33,0.73,0.29,0.03,0.79,0.74
,,2,0.24,0.75,0.38,0.04,0.89,0.77
,,3,0.23,0.71,0.47,0.06,0.87,0.76
,,4,0.14,0.74,0.47,0.07,0.96,0.82
,,5,0.23,0.71,0.44,0.04,0.88,0.81
,,6,0.27,0.75,0.42,0.04,0.86,0.76
,,7,0.26,0.72,0.35,0.05,0.86,0.74
,,8,0.25,0.71,0.39,0.04,0.86,0.77
,,9,0.32,0.73,0.34,0.04,0.8,0.77
,,10,0.29,0.71,0.39,0.05,0.81,0.76
,,11,0.34,0.74,0.31,0.03,0.79,0.73
,,12,0.32,0.75,0.37,0.03,0.79,0.74
,,13,0.17,0.66,0.43,0.07,0.95,0.85
,,14,0.29,0.72,0.32,0.04,0.85,0.77
,,15,0.37,0.73,0.34,0.04,0.75,0.77
,,16,0.47,0.76,0.24,0.03,0.76,0.78
,,17,0.5,0.74,0.18,0.02,0.61,0.72
,,18,0.21,0.73,0.46,0.05,0.88,0.78
,,19,0.59,0.7,0.16,0.02,0.54,0.62
,,20,0.41,0.73,0.19,0.02,0.72,0.76
,,21,0.29,0.74,0.45,0.06,0.87,0.82
,,22,0.46,0.74,0.39,0.06,0.77,0.77
,,Mean,0.32,0.73,0.35,0.04,0.81,0.76
,,Stdev,0.11,0.02,0.09,0.01,0.1,0.04
,CAGT,1,0.26,0.12,N/A,N/A,0.61,0.94
,,2,0.15,0.12,N/A,N/A,0.75,0.93
,,3,0.18,0.13,N/A,N/A,0.71,0.94
,,4,0.08,0.1,N/A,N/A,0.85,0.94
,,5,0.16,0.09,N/A,N/A,0.7,0.95
,,6,0.17,0.1,N/A,N/A,0.71,0.94
,,7,0.19,0.1,N/A,N/A,0.71,0.94
,,8,0.2,0.12,N/A,N/A,0.7,0.94
,,9,0.26,0.14,N/A,N/A,0.64,0.93
,,10,0.23,0.11,N/A,N/A,0.65,0.95
,,11,0.29,0.14,N/A,N/A,0.62,0.94
,,12,0.23,0.12,N/A,N/A,0.63,0.94
,,13,0.1,0.08,N/A,N/A,0.83,0.95
,,14,0.21,0.09,N/A,N/A,0.67,0.95
,,15,0.27,0.12,N/A,N/A,0.53,0.93
,,16,0.35,0.12,N/A,N/A,0.53,0.94
,,17,0.47,0.13,N/A,N/A,0.44,0.94
,,18,0.15,0.12,N/A,N/A,0.73,0.94
,,19,0.61,0.13,N/A,N/A,0.42,0.95
,,20,0.38,0.12,N/A,N/A,0.54,0.96
,,21,0.24,0.14,N/A,N/A,0.68,0.95
,,22,0.45,0.18,N/A,N/A,0.6,0.94
,,Mean,0.25,0.12,N/A,N/A,0.65,0.94
,,Stdev,0.13,0.02,N/A,N/A,0.11,0.01
,Magnitude,1,0,0,N/A,N/A,0.72,1
,,2,0,0,N/A,N/A,0.82,1
,,3,0,0,N/A,N/A,0.81,1
,,4,0,0,N/A,N/A,0.88,1
,,5,0,0,N/A,N/A,0.8,1
,,6,0,0,N/A,N/A,0.8,1
,,7,0,0,N/A,N/A,0.8,1
,,8,0,0,N/A,N/A,0.8,1
,,9,0,0,N/A,N/A,0.77,1
,,10,0,0,N/A,N/A,0.77,1
,,11,0,0,N/A,N/A,0.77,1
,,12,0,0,N/A,N/A,0.75,1
,,13,0,0,N/A,N/A,0.86,1
,,14,0,0,N/A,N/A,0.77,1
,,15,0,0,N/A,N/A,0.69,1
,,16,0,0,N/A,N/A,0.71,1
,,17,0,0,N/A,N/A,0.6,1
,,18,0,0,N/A,N/A,0.81,1
,,19,0,0,N/A,N/A,0.62,1
,,20,0,0,N/A,N/A,0.69,1
,,21,0,0,N/A,N/A,0.76,1
,,22,0,0,N/A,N/A,0.64,1
,,Mean,0,0,N/A,N/A,0.76,1
,,Stdev,0,0,N/A,N/A,0.07,0
,SOM-VN (RPKM > 5),1,0.3,0.79,0.29,0.04,0.86,0.72
,,2,0.22,0.8,0.35,0.04,0.94,0.76
,,3,0.21,0.77,0.44,0.06,0.91,0.75
,,4,0.13,0.8,0.44,0.08,0.98,0.82
,,5,0.21,0.76,0.43,0.05,0.92,0.79
,,6,0.25,0.8,0.41,0.05,0.92,0.75
,,7,0.24,0.78,0.3,0.05,0.91,0.74
,,8,0.24,0.78,0.34,0.05,0.91,0.76
,,9,0.31,0.77,0.31,0.04,0.87,0.76
,,10,0.26,0.77,0.37,0.05,0.89,0.76
,,11,0.3,0.8,0.29,0.04,0.85,0.72
,,12,0.29,0.8,0.29,0.03,0.86,0.72
,,13,0.16,0.73,0.37,0.07,0.97,0.84
,,14,0.27,0.79,0.34,0.05,0.9,0.76
,,15,0.34,0.76,0.27,0.04,0.83,0.75
,,16,0.43,0.81,0.23,0.04,0.83,0.77
,,17,0.43,0.79,0.21,0.02,0.71,0.7
,,18,0.19,0.76,0.47,0.06,0.93,0.78
,,19,0.52,0.73,0.23,0.03,0.64,0.62
,,20,0.38,0.79,0.2,0.03,0.81,0.74
,,21,0.28,0.77,0.47,0.07,0.91,0.81
,,22,0.38,0.78,0.29,0.05,0.85,0.74
,,Mean,0.29,0.78,0.33,0.05,0.87,0.75
,,Average,0.1,0.02,0.08,0.02,0.08,0.05
,,Difference,-0.03,0.05,-0.02,0,0.06,-0.01
Stomach (L),SOM-VN,1,0.68,0.23,0.47,0.11,0.77,0.98
,,2,0.56,0.23,0.39,0.11,0.84,0.97
,,3,0.61,0.26,0.32,0.12,0.87,0.97
,,4,0.49,0.28,0.24,0.13,0.92,0.97
,,5,0.57,0.23,0.31,0.11,0.87,0.97
,,6,0.6,0.26,0.34,0.12,0.86,0.97
,,7,0.55,0.2,0.36,0.12,0.85,0.97
,,8,0.54,0.19,0.35,0.12,0.86,0.97
,,9,0.54,0.21,0.45,0.12,0.79,0.97
,,10,0.55,0.2,0.46,0.11,0.78,0.97
,,11,0.68,0.22,0.5,0.1,0.78,0.98
,,12,0.64,0.21,0.36,0.1,0.83,0.98
,,13,0.51,0.27,0.26,0.12,0.91,0.97
,,14,0.59,0.25,0.38,0.1,0.82,0.97
,,15,0.61,0.24,0.48,0.11,0.74,0.97
,,16,0.71,0.22,0.53,0.1,0.7,0.98
,,17,0.79,0.15,0.55,0.08,0.51,0.98
,,18,0.48,0.25,0.36,0.13,0.88,0.97
,,19,0.82,0.11,0.28,0.06,0.39,0.96
,,20,0.62,0.19,0.49,0.08,0.66,0.97
,,21,0.52,0.22,0.43,0.13,0.83,0.97
,,22,0.6,0.17,0.61,0.09,0.4,0.97
,,Mean,0.6,0.22,0.41,0.11,0.77,0.97
,,Stdev,0.09,0.04,0.1,0.02,0.15,0
,CAGT,1,N/A,N/A,N/A,N/A,0.64,1
,,2,N/A,N/A,N/A,N/A,0.8,1
,,3,N/A,N/A,N/A,N/A,0.84,1
,,4,N/A,N/A,N/A,N/A,0.9,1
,,5,N/A,N/A,N/A,N/A,0.84,1
,,6,N/A,N/A,N/A,N/A,0.82,1
,,7,N/A,N/A,N/A,N/A,0.81,1
,,8,N/A,N/A,N/A,N/A,0.83,1
,,9,N/A,N/A,N/A,N/A,0.74,1
,,10,N/A,N/A,N/A,N/A,0.73,1
,,11,N/A,N/A,N/A,N/A,0.62,1
,,12,N/A,N/A,N/A,N/A,0.73,1
,,13,N/A,N/A,N/A,N/A,0.88,1
,,14,N/A,N/A,N/A,N/A,0.78,1
,,15,N/A,N/A,N/A,N/A,0.68,1
,,16,N/A,N/A,N/A,N/A,0.53,1
,,17,N/A,N/A,N/A,N/A,0.36,1
,,18,N/A,N/A,N/A,N/A,0.85,1
,,19,N/A,N/A,N/A,N/A,0.26,1
,,20,N/A,N/A,N/A,N/A,0.54,1
,,21,N/A,N/A,N/A,N/A,0.81,1
,,22,N/A,N/A,N/A,N/A,0.27,1
,,Mean,N/A,N/A,N/A,N/A,0.69,1
,,Stdev,N/A,N/A,N/A,N/A,0.19,0
,Magnitude,1,0,0,0,0,0.73,1
,,2,0,0,0,0,0.81,1
,,3,0,0,0,0,0.84,1
,,4,0,0,0,0,0.91,1
,,5,0,0,0,0,0.85,1
,,6,0,0,0,0,0.83,1
,,7,0,0,0,0,0.82,1
,,8,0,0,0,0,0.84,1
,,9,0,0,0,0,0.76,1
,,10,0,0,0,0,0.74,1
,,11,0,0,0,0,0.75,1
,,12,0,0,0,0,0.8,1
,,13,0,0,0,0,0.88,1
,,14,0,0,0,0,0.78,1
,,15,0,0,0,0,0.7,1
,,16,0,0,0,0,0.67,1
,,17,0,0,0,0,0.52,1
,,18,0,0,1,0,0.86,1
,,19,0,0,0,0,0.48,1
,,20,0,0,0,0,0.62,1
,,21,0,0,0,0,0.8,1
,,22,0,0,0,0,0.38,1
,,Mean,0,0,0.05,0,0.74,1
,,Stdev,0,0,0.21,0,0.14,0
,SOM-VN (RPKM > 5),1,0.77,0.21,0.45,0.1,0.76,0.98
,,2,0.66,0.19,0.39,0.11,0.83,0.98
,,3,0.75,0.22,0.35,0.13,0.86,0.98
,,4,0.64,0.23,0.27,0.13,0.91,0.98
,,5,0.67,0.2,0.37,0.12,0.87,0.98
,,6,0.73,0.22,0.37,0.13,0.85,0.98
,,7,0.66,0.18,0.36,0.12,0.85,0.98
,,8,0.64,0.17,0.38,0.12,0.86,0.98
,,9,0.64,0.18,0.43,0.12,0.79,0.98
,,10,0.67,0.18,0.47,0.11,0.77,0.98
,,11,0.77,0.2,0.47,0.09,0.77,0.99
,,12,0.78,0.2,0.37,0.1,0.83,0.98
,,13,0.64,0.22,0.31,0.13,0.89,0.98
,,14,0.68,0.22,0.4,0.11,0.81,0.98
,,15,0.77,0.21,0.49,0.11,0.73,0.98
,,16,0.82,0.21,0.45,0.09,0.7,0.99
,,17,0.91,0.15,0.44,0.07,0.52,0.99
,,18,0.6,0.18,0.36,0.13,0.86,0.98
,,19,0.87,0.12,0.22,0.04,0.4,0.97
,,20,0.74,0.17,0.52,0.08,0.66,0.98
,,21,0.68,0.17,0.37,0.12,0.82,0.98
,,22,0.73,0.16,0.53,0.07,0.4,0.99
,,Mean,0.72,0.19,0.4,0.11,0.76,0.98
,,Stdev,0.08,0.03,0.08,0.02,0.15,0
,,Difference,0.12,-0.03,-0.01,0,-0.01,0.01
Stomach (H),SOM-VN,1,0.63,0.33,0.42,0.87,0.94,0.66
,,2,0.59,0.33,0.36,0.9,0.96,0.61
,,3,0.6,0.34,0.29,0.9,0.96,0.6
,,4,0.5,0.32,0.21,0.9,0.98,0.6
,,5,0.58,0.31,0.31,0.9,0.97,0.63
,,6,0.62,0.3,0.32,0.9,0.97,0.64
,,7,0.58,0.29,0.32,0.89,0.95,0.63
,,8,0.55,0.3,0.32,0.89,0.96,0.63
,,9,0.61,0.33,0.42,0.9,0.96,0.65
,,10,0.61,0.29,0.45,0.9,0.93,0.63
,,11,0.68,0.31,0.44,0.88,0.94,0.72
,,12,0.68,0.4,0.35,0.87,0.95,0.66
,,13,0.49,0.35,0.23,0.91,0.98,0.45
,,14,0.61,0.33,0.38,0.89,0.96,0.68
,,15,0.61,0.3,0.44,0.89,0.92,0.61
,,16,0.74,0.38,0.52,0.86,0.91,0.75
,,17,0.75,0.24,0.49,0.82,0.74,0.63
,,18,0.54,0.27,0.3,0.92,0.97,0.58
,,19,0.71,0.14,0.35,0.76,0.52,0.4
,,20,0.65,0.31,0.5,0.88,0.89,0.62
,,21,0.5,0.28,0.35,0.89,0.97,0.56
,,22,0.69,0.31,0.62,0.87,0.77,0.65
,,Mean,0.61,0.31,0.38,0.88,0.91,0.62
,,Stdev,0.07,0.05,0.1,0.03,0.11,0.07
,CAGT,1,0.26,0.18,0.33,0.77,0.69,0.18
,,2,0.18,0.14,0.27,0.76,0.74,0.19
,,3,0.19,0.16,0.23,0.76,0.8,0.19
,,4,0.14,0.16,0.15,0.72,0.84,0.19
,,5,0.15,0.13,0.24,0.77,0.8,0.19
,,6,0.16,0.12,0.24,0.76,0.76,0.18
,,7,0.18,0.14,0.23,0.74,0.75,0.18
,,8,0.17,0.16,0.25,0.77,0.79,0.2
,,9,0.19,0.13,0.32,0.77,0.71,0.2
,,10,0.17,0.13,0.35,0.74,0.63,0.2
,,11,0.23,0.14,0.35,0.76,0.58,0.16
,,12,0.18,0.14,0.26,0.74,0.68,0.18
,,13,0.13,0.15,0.17,0.74,0.86,0.21
,,14,0.24,0.16,0.29,0.74,0.68,0.2
,,15,0.18,0.13,0.35,0.73,0.6,0.17
,,16,0.27,0.16,0.41,0.73,0.47,0.17
,,17,0.39,0.17,0.44,0.75,0.28,0.12
,,18,0.11,0.11,0.23,0.74,0.81,0.2
,,19,0.52,0.16,0.37,0.76,0.17,0.09
,,20,0.24,0.14,0.41,0.76,0.57,0.18
,,21,0.14,0.1,0.25,0.73,0.79,0.2
,,22,0.36,0.18,0.53,0.76,0.21,0.1
,,Mean,0.22,0.14,0.3,0.75,0.65,0.18
,,Stdev,0.1,0.02,0.09,0.02,0.2,0.03
,Magnitude,1,1,0,N/A,N/A,0.69,1
,,2,0,0,N/A,N/A,0.75,1
,,3,0,0,N/A,N/A,0.79,1
,,4,0,0,N/A,N/A,0.86,1
,,5,0,0,N/A,N/A,0.8,1
,,6,0,0,N/A,N/A,0.77,1
,,7,0,0,N/A,N/A,0.77,1
,,8,0,0,N/A,N/A,0.79,1
,,9,0,0,N/A,N/A,0.73,1
,,10,0,0,N/A,N/A,0.68,1
,,11,0,0,N/A,N/A,0.71,1
,,12,0,0,N/A,N/A,0.75,1
,,13,1,0,N/A,N/A,0.83,1
,,14,0,0,N/A,N/A,0.74,1
,,15,1,0,N/A,N/A,0.64,1
,,16,0,0,N/A,N/A,0.64,1
,,17,0,0,N/A,N/A,0.49,1
,,18,0,0,N/A,N/A,0.8,1
,,19,0,0,N/A,N/A,0.48,1
,,20,0,0,N/A,N/A,0.57,1
,,21,0,0,N/A,N/A,0.75,1
,,22,0,0,N/A,N/A,0.37,1
,,Mean,0.14,0,N/A,N/A,0.7,1
,,Stdev,0.35,0,N/A,N/A,0.12,0
,SOM-VN (RPKM > 5),1,0.63,0.4,0.36,0.86,0.95,0.6
,,2,0.58,0.4,0.28,0.9,0.98,0.55
,,3,0.57,0.42,0.24,0.89,0.98,0.56
,,4,0.5,0.36,0.15,0.9,0.99,0.57
,,5,0.58,0.4,0.23,0.9,0.98,0.58
,,6,0.6,0.37,0.26,0.9,0.98,0.59
,,7,0.58,0.38,0.25,0.89,0.98,0.58
,,8,0.55,0.39,0.25,0.89,0.98,0.59
,,9,0.63,0.41,0.36,0.91,0.97,0.59
,,10,0.62,0.38,0.37,0.9,0.96,0.56
,,11,0.66,0.38,0.41,0.88,0.96,0.67
,,12,0.65,0.47,0.29,0.86,0.97,0.61
,,13,0.51,0.38,0.15,0.9,0.99,0.42
,,14,0.61,0.4,0.32,0.89,0.98,0.63
,,15,0.59,0.37,0.38,0.89,0.95,0.54
,,16,0.73,0.45,0.47,0.86,0.94,0.68
,,17,0.72,0.29,0.51,0.83,0.77,0.56
,,18,0.53,0.34,0.23,0.91,0.98,0.53
,,19,0.66,0.15,0.4,0.78,0.55,0.35
,,20,0.65,0.38,0.44,0.88,0.92,0.54
,,21,0.56,0.35,0.27,0.9,0.98,0.51
,,22,0.7,0.39,0.62,0.88,0.81,0.53
,,Mean,0.61,0.38,0.33,0.88,0.93,0.56
,,Stdev,0.06,0.06,0.12,0.03,0.1,0.07
,,Difference,-0.08,0.06,-0.29,0.01,0.16,-0.08
