"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
Sample,Method,Chromosome,Promoter Precision,Promoter Recall,Enhancer Precision,Enhancer Recall,Weak Precision,Weak Recall
,,Mean,0.58,0.36,0.43,0.88,0.93,0.57
,,Stdev,0.07,0.11,0.09,0.04,0.1,0.3
,CAGT,1,N/A,N/A,0.33,1,0,0
,,2,N/A,N/A,0.22,1,0,0
,,3,N/A,N/A,0.22,1,1,0
,,4,N/A,N/A,0.09,1,0.75,0
,,5,N/A,N/A,0.14,1,0,0
,,6,N/A,N/A,0.3,1,0,0
,,7,N/A,N/A,0.21,1,0,0
,,8,N/A,N/A,0.16,1,0.5,0
,,9,N/A,N/A,0.24,1,0,0
,,10,N/A,N/A,0.26,1,0,0
,,11,N/A,N/A,0.34,1,0,0
,,12,N/A,N/A,0.34,1,0,0
,,13,N/A,N/A,0.1,1,0,0
,,14,N/A,N/A,0.3,1,1,0
,,15,N/A,N/A,0.29,1,0,0
,,16,N/A,N/A,0.39,1,0,0
,,17,N/A,N/A,0.4,1,0,0
,,18,N/A,N/A,0.12,1,1,0
,,19,N/A,N/A,0.4,1,0.5,0
,,20,N/A,N/A,0.38,1,0,0
,,21,N/A,N/A,0.16,1,0,0
,,22,N/A,N/A,0.47,1,0,0
,,Mean,N/A,N/A,0.27,1,0.22,0
,,Stdev,N/A,N/A,0.11,0,0.38,0
,Magnitude,1,0.08,0.93,0.65,0.15,1,0
,,2,0.05,0.95,0.68,0.17,0,0
,,3,0.05,0.94,0.63,0.15,0,0
,,4,0.04,0.93,0.27,0.19,0,0
,,5,0.04,0.94,0.58,0.16,0,0
,,6,0.06,0.95,0.68,0.15,0,0
,,7,0.06,0.94,0.61,0.16,0,0
,,8,0.04,0.93,0.59,0.16,0,0
,,9,0.06,0.95,0.59,0.15,0,0
,,10,0.06,0.95,0.69,0.15,0,0
,,11,0.07,0.94,0.64,0.12,0,0
,,12,0.07,0.93,0.64,0.15,0,0
,,13,0.04,0.96,0.3,0.21,0,0
,,14,0.07,0.94,0.67,0.16,0,0
,,15,0.07,0.94,0.67,0.15,0,0
,,16,0.09,0.94,0.7,0.13,0,0
,,17,0.13,0.92,0.61,0.12,0,0
,,18,0.04,0.92,0.47,0.19,0,0
,,19,0.18,0.93,0.62,0.12,0,0
,,20,0.08,0.94,0.73,0.14,0,0
,,21,0.05,0.92,0.49,0.18,0,0
,,22,0.13,0.94,0.74,0.13,0,0
,,Mean,0.07,0.94,0.6,0.15,0.05,0
,,Stdev,0.04,0.01,0.12,0.02,0.21,0
,SOM-VN (RPKM > 5),1,0.61,0.34,0.39,0.87,0.97,0.76
