"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"RNASE9__V__QI4014","RNASE9","QI4014",-0.11441176168686,2.18883189001532e-06,0.000894218208830478,0.102978611549139
"ZNF282__V__QI1351","ZNF282","QI1351",-0.114379464841584,3.38779337538716e-05,0.00498268401974768,0.101226272686088
"SENP1__V__QI6188","SENP1","QI6188",-0.114363630461546,0.00181046692283197,0.0498756789454787,0.160215381962447
"IFNA17__V__TF26.2","IFNA17","TF26.2",-0.114361569238496,0.000105953296872332,0.00985107493538605,0.10229478525915
"ATPAF1__V__QI6372","ATPAF1","QI6372",-0.114361457665761,0.000527627807552201,0.0249168709776583,0.110236928482307
"LOC440829__V__TF21","LOC440829","TF21",-0.114340805003756,0.000932781419735297,0.0344234703983844,0.114977611375775
"LOC442366__V__QI7557","LOC442366","QI7557",-0.114329513954091,0.000418608604557037,0.0218511543732899,0.109198327715912
"FAM187B__V__QI3391","FAM187B","QI3391",-0.11430254123081,1.19676089301847e-05,0.00263481359392627,0.101778340091068
"LOC646631__V__TF19","LOC646631","TF19",-0.114299305589955,0.000821526065653032,0.0320422027532822,0.108964253700099
"LOC645186__V__AM19","LOC645186","AM19",-0.114285333306079,0.000467592501723961,0.023266171631705,0.108693195884571
"TMPRSS11F__V__QI6100","TMPRSS11F","QI6100",-0.114277470653869,0.00167026799612974,0.0476928069118299,0.121190922950704
"RNASE13__V__TF21","RNASE13","TF21",-0.114273529189359,0.000533096881892899,0.0250622694868607,0.116568427541298
"ARHGAP23__V__AM19","ARHGAP23","AM19",-0.114241054576633,0.000809464889552469,0.0317854101699139,0.1095259376416
"SNORA56__V__AM19","SNORA56","AM19",-0.114239173618232,0.000735410178415714,0.030105333737766,0.108055126387138
"C20orf26__V__AM19","C20orf26","AM19",-0.114216145323334,0.000402534685938864,0.0213658710884414,0.108649253594724
"LOC100129239__V__QI3739","LOC100129239","QI3739",-0.114210399064703,0.000674250201235149,0.0286559796682791,0.119147147250727
"MYOZ3__V__AM19","MYOZ3","AM19",-0.114201539050484,0.000496367152627662,0.0240634973389164,0.10987013516455
"PRAMEF4__V__QI6188","PRAMEF4","QI6188",-0.114189615336904,0.000878293421414234,0.0332841423953396,0.162466168650858
"LOC729919__V__AM19","LOC729919","AM19",-0.114173311542945,0.000266516075913752,0.0168771352543108,0.110333497068586
"DHX35__V__QI6188","DHX35","QI6188",-0.114157866606355,0.000484313524131211,0.0237329718500445,0.163940432950745
"LOC729076__V__QI3391","LOC729076","QI3391",-0.114142074083035,1.32967384078469e-05,0.00281423247879237,0.100461916164459
"LOC388849__V__QI6372","LOC388849","QI6372",-0.114138435665975,0.000680008765889807,0.0287946620641151,0.108498697820375
"FSCN2__V__AM19","FSCN2","AM19",-0.114108405398466,0.00111742043446167,0.0381106529234106,0.107980585208998
"RFPL4B__V__TF22","RFPL4B","TF22",-0.114105547284604,0.00143963928545478,0.0439053659679848,0.101441833219213
"LRRC32__V__QI6188","LRRC32","QI6188",-0.114084745937341,0.00128564844837547,0.0412224934364472,0.16182103663517
"ACAT2__V__QI6372","ACAT2","QI6372",-0.114074933684554,0.00151442413314753,0.0451684114337821,0.106882637339054
"CRYGC__V__QI7334","CRYGC","QI7334",-0.114062219417316,0.000128730824047764,0.0110468193536006,0.101591666064078
"MIA3__V__QI3391","MIA3","QI3391",-0.114061668428627,1.79143842389547e-05,0.00337942972413063,0.101611603894465
"LOC100128528__V__QI6188","LOC100128528","QI6188",-0.114057743457407,0.00178305382410825,0.0494513754343052,0.161308725548815
"PAMR1__V__QI4014","PAMR1","QI4014",-0.114051300290516,3.28752607570224e-06,0.00116510532160716,0.100141262844227
"B3GALNT1__V__QI6188","B3GALNT1","QI6188",-0.114048533944003,0.00150810552044692,0.045063844060606,0.160515723332945
"LOC285588__V__QI3592","LOC285588","QI3592",-0.114038900499275,0.00133070536423975,0.0420180838918117,0.133393886573675
"KCNK13__V__TF26.2","KCNK13","TF26.2",-0.114015103129706,7.64237645366859e-05,0.00811149475342571,0.103917210602844
"LOC442249__V__QI6372","LOC442249","QI6372",-0.114004491863421,0.00137363631328374,0.0427664244159201,0.106647906091007
"LOC149950__V__AM19","LOC149950","AM19",-0.114001178787404,0.000694172327745783,0.0291362482885277,0.108429975778621
"LOC100132088__V__AM19","LOC100132088","AM19",-0.113994701082662,0.00112409707841199,0.0382343577763458,0.107750673909058
"LOC646388__V__QI6372","LOC646388","QI6372",-0.113987198942222,0.00131876614983576,0.0418078888358493,0.108284528801224
"CPLX2__V__TF19","CPLX2","TF19",-0.113982674748123,0.000256313884381788,0.0164983863181217,0.112154590454545
"LOC100134699__V__QI6339","LOC100134699","QI6339",-0.11397912388095,0.000917594426456174,0.0341124433157813,0.109492952778576
"C8orf47__V__QI3911","C8orf47","QI3911",-0.113973923829739,0.000184787730504685,0.0136400243832576,0.167282840552265
"C17orf80__V__AM19","C17orf80","AM19",-0.113962534505168,0.000996239114005717,0.0357305886026405,0.110825489262434
"GPT__V__QI3592","GPT","QI3592",-0.113953036773382,0.000864895742749823,0.0329918831691874,0.132324956512963
"LOC642606__V__AM19","LOC642606","AM19",-0.113925401819166,0.000946429103817795,0.0347056578677563,0.108577548996795
"LOC642671__V__QI6604","LOC642671","QI6604",-0.113912843953356,0.000864650547311045,0.0329866037627112,0.181797688525387
"JRKL__V__QI6188","JRKL","QI6188",-0.11389637318031,0.00150949361217631,0.0450882246478337,0.159431816073745
"LOC389852__V__QI6372","LOC389852","QI6372",-0.113878725374957,0.00133045842706547,0.0420133468514679,0.10739973074723
"MGC35361__V__QI3866","MGC35361","QI3866",-0.113869483918471,0.000887684415044372,0.0334833947632718,0.132577555867085
"SRF__V__QI1351","SRF","QI1351",-0.113845063701683,2.97271590974348e-05,0.0046024765461389,0.101569027823289
"C11orf10__V__QI6449","C11orf10","QI6449",-0.113838484608262,1.79279579576788e-05,0.00338130196185885,0.100201213899499
"MBL2__V__QI3592","MBL2","QI3592",-0.113815368319291,0.0014218234079221,0.0436068029077723,0.131591136218335
"MYBPC3__V__QI4868","MYBPC3","QI4868",-0.113771534616735,0.000552346645742615,0.0255733711723783,0.12064684479271
"RPL3L__V__QI10610","RPL3L","QI10610",-0.113749627868476,0.00134946135743983,0.0423442968396799,0.147515680755565
"OR4Q3__V__AM19","OR4Q3","AM19",-0.113693473625072,0.000516845861805921,0.0246192156787487,0.110072793565264
"APOA1__V__TF26.2","APOA1","TF26.2",-0.113682639269838,5.11342208438775e-05,0.00638701268482976,0.104176271394786
"OR10A2__V__AM19","OR10A2","AM19",-0.113681387862687,0.000734641777039911,0.0300871695844544,0.107242524011443
"LOC440503__V__QI6372","LOC440503","QI6372",-0.113679856892611,0.000950441955343038,0.0347863112872861,0.108203822122787
"MS4A8B__V__QI6372","MS4A8B","QI6372",-0.11367511595578,0.00148965912032429,0.0447518803537382,0.106720537541049
"PPP2R1B__V__QI3592","PPP2R1B","QI3592",-0.113638455218284,0.00104929114015911,0.0367961253942839,0.133322210887464
"DOCK7__V__QI5704","DOCK7","QI5704",-0.113638418566348,0.000851283101761051,0.0326930829752731,0.157660054579688
"LOC374973__V__QI3739","LOC374973","QI3739",-0.113635526235834,0.00127710403594835,0.0410673616006785,0.117892098026323
"PIGO__V__QI6604","PIGO","QI6604",-0.113634249650004,0.00158197387574106,0.046277491775232,0.180911821641786
"ZNF17__V__QI4868","ZNF17","QI4868",-0.113634184084104,0.000954075406286496,0.034862084710886,0.119282951509176
"ICOSLG__V__AM19","ICOSLG","AM19",-0.113623882363521,0.000470422929813286,0.0233463799823405,0.109322240664603
"SERPINA12__V__TF19","SERPINA12","TF19",-0.113608821115053,0.000583045287590057,0.02638827596808,0.109219673993648
"ACE__V__AM19","ACE","AM19",-0.113608368987816,0.00127579103180864,0.0410450417777231,0.107029155097104
"LOC653789__V__QI6372","LOC653789","QI6372",-0.113605176366429,0.00142714785128425,0.0436974540706815,0.106564732428264
"FLJ27365__V__QI6372","FLJ27365","QI6372",-0.113604226398667,0.000530215615164087,0.024986104848887,0.109221592508976
"RPS6KA2__V__TF26.2","RPS6KA2","TF26.2",-0.113601456472105,0.000145348579770114,0.0118547670730798,0.100860136505835
"IRG1__V__TF26.2","IRG1","TF26.2",-0.113560443449675,6.35786120979319e-05,0.00727585265599375,0.10253472184397
"LOC729193__V__QI6372","LOC729193","QI6372",-0.113552216462648,0.00162686372773626,0.0470094861425104,0.106629435755444
"ARL10__V__QI6163","ARL10","QI6163",-0.113547687741776,0.00159145894479195,0.0464363305374188,0.141923623475445
"C2orf16__V__QI6339","C2orf16","QI6339",-0.113541081433162,0.000428627465970367,0.0221505877717588,0.109152093704708
"CECR4__V__AM19","CECR4","AM19",-0.11353894575495,0.000470546234084274,0.023349855365547,0.11064130513734
"FLJ44313__V__QI6372","FLJ44313","QI6372",-0.113532610925137,0.0016433269736185,0.0472693176542577,0.107567601642554
"LOC388255__V__QI6372","LOC388255","QI6372",-0.113531070636833,0.00107138207624617,0.0372211926177723,0.109475602995032
"C3orf26__V__QI3391","C3orf26","QI3391",-0.113500046195572,2.74308720376065e-05,0.00438346237588027,0.101636012430587
"HPDL__V__QI6188","HPDL","QI6188",-0.11343427783418,0.000710594562127212,0.0295297978683404,0.161542640377912
"OR5AC2__V__QI7557","OR5AC2","QI7557",-0.113433059636741,0.00041113622110708,0.0216254492308564,0.107894692240845
"LOC402538__V__QI3866","LOC402538","QI3866",-0.113425842074135,0.000713916537444406,0.029609115386796,0.13305197004567
"RBM28__V__QI6188","RBM28","QI6188",-0.113424565351986,0.00101251755110625,0.0360668906370424,0.163431891313183
"MRPL40__V__QI4868","MRPL40","QI4868",-0.1134148885053,0.000248457517279447,0.0162051796457128,0.122410496093559
"IFITM5__V__AM19","IFITM5","AM19",-0.113361630675483,0.000583477105863379,0.0263975144299871,0.108112496716781
"GOLGA8G__V__QI6372","GOLGA8G","QI6372",-0.113319730732717,0.00124316511548923,0.040454008368839,0.107375012746241
"GNAS__V__QI3592","GNAS","QI3592",-0.113308925836086,0.000435961479300924,0.0223664450221294,0.134750821680239
"LOC643011__V__QI4868","LOC643011","QI4868",-0.113283686882404,0.000856093863190111,0.0327998767255174,0.120080466657999
